,Unnamed: 0,policy_rk,total_premium_amt,coverage,repair_option,paid_flg,region,auto_make,auto_model,auto_cost,vehicle_mileage_km_amt,vehicle_new_flg,audatex_claim_cnt,audatex_total_cost_amt,vehicle_issue_year,vehicle_credit_flg,min_driver_experience_years_cnt,insurant_gender_cd,age,issue_flg,expected_loss_amt,transition_flg,premium_transition_amt,renewed_issue_flg,renewed_paid_flg,unique
0,0,283363056,787323.6,Полное КАСКО,Ремонт на СТОА официального дилера,1,Иркутская область,Mazda,Mazda CX-9,2340000.0,15500.0,0.0,0.0,0.0,2018,0,15,M,45.0,1,0.0,0.0,0.0,0,0,283363056M45.0
1,1,283392099,33526.08,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Subaru,Subaru Legacy,1765800.0,10000.0,0.0,0.0,0.0,2019,0,16,M,52.0,1,0.0,0.0,0.0,1,1,283392099M52.0
4,4,283594911,231300.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Renault,Renault Kaptur,1390000.0,17000.0,0.0,0.0,0.0,2018,0,19,F,50.0,1,124247.16,0.0,0.0,0,0,283594911F50.0
8,8,283603479,482400.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Hyundai,Hyundai Tucson,3000000.0,5.0,1.0,0.0,0.0,2021,0,10,F,31.0,1,533449.44,0.0,0.0,0,0,283603479F31.0
13,13,283607136,267342.21,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Карелия,Kia,Kia Rio X-Line,830000.0,20000.0,0.0,0.0,0.0,2019,0,9,F,37.0,1,0.0,0.0,0.0,0,0,283607136F37.0
16,16,283611858,245016.63,Полное КАСКО,Ремонт на СТОА официального дилера,1,Ленинградская область,Ford,Ford Focus,1300000.0,62000.0,0.0,0.0,0.0,2017,0,15,F,39.0,1,0.0,0.0,0.0,1,1,283611858F39.0
18,18,283613865,214200.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Sorento,2300000.0,13500.0,0.0,0.0,0.0,2018,0,15,M,45.0,1,62673.3,0.0,0.0,1,1,283613865M45.0
22,22,283681743,250200.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Kia,Kia Soul,995701.0,10000.0,0.0,2.0,254619.0,2017,0,23,F,58.0,1,133953.39,0.0,212899.5,1,1,283681743F58.0
23,25,283729446,437943.42,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Hyundai,Hyundai Tucson,1919000.0,1.0,0.0,0.0,0.0,2020,1,3,M,51.0,1,0.0,0.0,0.0,1,1,283729446M51.0
25,27,283811082,493401.6,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mini (BMW),Mini (BMW) Cooper,1150000.0,1.0,0.0,0.0,0.0,2019,0,7,M,31.0,1,0.0,0.0,0.0,0,0,283811082M31.0
27,29,283830348,324648.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Курская область,Mitsubishi,Mitsubishi Outlander,1300000.0,120.0,0.0,3.0,4528197.0,2018,1,32,M,60.0,1,300250.98,1.0,452700.0,1,1,283830348M60.0
28,30,283836021,159122.07,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Калужская область,Hyundai,Hyundai Tucson,1080000.0,62000.0,0.0,0.0,0.0,2017,1,23,M,43.0,1,0.0,0.0,0.0,1,1,283836021M43.0
31,33,283866618,771885.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Чувашская республика,Infiniti,Infiniti QX50,3800000.0,2200.0,0.0,1.0,2315943.0,2019,1,15,F,35.0,1,549044.82,0.0,1147356.0,0,0,283866618F35.0
33,35,283933047,1007721.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mercedes-Benz,Mercedes-Benz E-class,4300000.0,10000.0,0.0,0.0,0.0,2020,1,20,M,44.0,1,555699.96,0.0,0.0,0,0,283933047M44.0
38,40,283934025,170231.58,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Белгородская область,Volkswagen,Volkswagen Polo,415000.0,98000.0,0.0,0.0,0.0,2012,1,7,F,51.0,1,0.0,0.0,0.0,1,1,283934025F51.0
43,46,283935156,554805.81,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Липецкая область,Geely,Geely Atlas,1344775.0,14500.0,0.0,0.0,0.0,2019,1,5,F,30.0,1,0.0,0.0,0.0,1,0,283935156F30.0
44,47,283935189,99000.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Ленинградская область,Opel,Opel Corsa,500000.0,30000.0,0.0,0.0,0.0,2012,1,4,F,34.0,1,28455.21,0.0,0.0,1,1,283935189F34.0
49,52,283936860,446292.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Нижегородская область,Hyundai,Hyundai Creta,1800000.0,0.0,1.0,0.0,0.0,2021,0,4,F,40.0,1,365105.43,0.0,0.0,0,0,283936860F40.0
52,55,283938561,544374.72,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,BMW,BMW 630D XDRIVE,4200000.0,15000.0,0.0,0.0,0.0,2018,0,17,M,52.0,1,0.0,0.0,0.0,0,0,283938561M52.0
56,61,283940871,289027.98,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Kia,Kia Sorento,1500000.0,10000.0,0.0,0.0,0.0,2019,0,27,M,48.0,1,0.0,0.0,0.0,1,1,283940871M48.0
62,67,283943079,181800.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Карелия,Kia,Kia Sorento,2140000.0,20000.0,0.0,0.0,0.0,2019,0,13,F,48.0,1,134523.63,0.0,0.0,1,1,283943079F48.0
63,68,283944072,593901.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Воронежская область,Kia,Kia Rio,1550000.0,0.0,1.0,0.0,0.0,2021,1,9,F,27.0,1,454976.82,0.0,0.0,0,0,283944072F27.0
73,81,283948332,479700.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Mercedes-Benz,Mercedes-Benz GLA-class,3055000.0,15000.0,0.0,0.0,0.0,2020,1,28,M,49.0,1,102686.4,0.0,0.0,0,0,283948332M49.0
75,83,283949973,449361.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Смоленская область,Hyundai,Hyundai Solaris,1700000.0,0.0,1.0,0.0,0.0,2021,1,32,M,50.0,1,334355.31,0.0,0.0,0,0,283949973M50.0
80,89,283951932,298800.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Geely,Geely Atlas,2295000.0,0.0,1.0,0.0,0.0,2021,1,36,M,56.0,1,217752.93,0.0,0.0,0,0,283951932M56.0
81,90,283952067,230987.43,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Volkswagen,Volkswagen Touareg,1800000.0,10000.0,0.0,0.0,0.0,2015,0,14,F,40.0,1,0.0,0.0,0.0,1,1,283952067F40.0
84,94,283952742,298080.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Ленинградская область,Hyundai,Hyundai Tucson,1500000.0,30000.0,0.0,1.0,1129977.0,2019,0,15,M,42.0,1,238567.23,1.0,297000.0,1,1,283952742M42.0
87,97,283954125,453870.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Московская область,Ravon,Ravon R4,790000.0,45000.0,0.0,0.0,0.0,2017,1,4,M,64.0,1,272120.58,0.0,0.0,0,0,283954125M64.0
93,103,283956162,592200.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Московская область,Ford,Ford Mondeo,1600000.0,63817.0,0.0,1.0,692757.0,2017,1,9,F,50.0,1,253314.27,0.0,0.0,0,0,283956162F50.0
96,106,283957374,270000.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Skoda,Skoda Octavia,1150000.0,45000.0,0.0,1.0,419805.0,2015,0,13,M,35.0,1,168203.61,0.0,0.0,0,0,283957374M35.0
99,109,283960569,252000.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Kia,Kia Optima,1211743.0,22072.0,0.0,1.0,2366127.0,2016,0,19,M,46.0,1,118548.99,0.0,0.0,1,1,283960569M46.0
103,113,283961751,524475.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Московская область,Kia,Kia K5,2600000.0,500.0,0.0,0.0,0.0,2020,0,19,M,54.0,1,404357.31,0.0,0.0,0,0,283961751M54.0
106,116,283962663,244800.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Rio,1700000.0,10000.0,0.0,0.0,0.0,2020,0,18,M,36.0,1,189374.4,1.0,470673.0,1,1,283962663M36.0
108,118,283964004,693900.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Воронежская область,Kia,Kia Stinger,2418000.0,26891.0,0.0,0.0,0.0,2018,1,11,F,33.0,1,451793.16,0.0,0.0,0,0,283964004F33.0
109,119,283964328,189605.52,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Hyundai,Hyundai Tucson,1300000.0,35000.0,0.0,0.0,0.0,2018,1,12,M,36.0,1,0.0,0.0,0.0,1,1,283964328M36.0
110,120,283964391,639900.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Kia,Kia Sorento,2358000.0,18000.0,0.0,0.0,0.0,2019,0,18,M,39.0,1,421197.39,0.0,0.0,0,0,283964391M39.0
112,122,283965066,261612.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Renault,Renault Captur,1100000.0,15000.0,0.0,4.0,3376026.0,2016,0,11,M,42.0,1,202745.61,0.0,0.0,1,0,283965066M42.0
114,124,283965672,265243.86,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Mitsubishi,Mitsubishi Outlander,1600000.0,12000.0,0.0,0.0,0.0,2017,0,37,M,58.0,1,0.0,0.0,0.0,1,1,283965672M58.0
116,126,283988757,367092.81,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Карелия,Mazda,Mazda 6,1500000.0,35700.0,0.0,0.0,0.0,2018,0,13,M,53.0,1,0.0,0.0,0.0,1,1,283988757M53.0
117,127,284004747,245429.1,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Audi,Audi A4,2000000.0,25000.0,0.0,0.0,0.0,2018,1,12,M,37.0,1,0.0,0.0,0.0,1,1,284004747M37.0
118,129,284041356,348644.07,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Карелия,Toyota,Toyota Camry,2200000.0,63000.0,0.0,0.0,0.0,2018,1,17,M,36.0,1,0.0,0.0,1167660.0,1,0,284041356M36.0
121,134,284195898,112380.03,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Ford,Ford EcoSport,531000.0,21000.0,0.0,0.0,0.0,2016,1,10,F,45.0,1,0.0,0.0,0.0,1,0,284195898F45.0
123,137,284289900,846708.3,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Mazda,Mazda 3,2200000.0,8300.0,0.0,0.0,0.0,2019,0,4,M,37.0,1,0.0,0.0,0.0,0,0,284289900M37.0
126,141,284416620,294300.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Краснодарский край,Toyota,Toyota Camry,1800000.0,29000.0,0.0,0.0,0.0,2020,1,11,F,54.0,1,80628.39,0.0,0.0,0,0,284416620F54.0
127,142,284417142,547576.11,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Чувашская республика,BMW,BMW X4,4019000.0,500.0,0.0,0.0,0.0,2019,0,7,F,36.0,1,0.0,0.0,0.0,1,1,284417142F36.0
130,145,284417967,198941.67,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Карелия,BMW,BMW 3er,2300000.0,24000.0,0.0,0.0,0.0,2019,0,2,M,43.0,1,0.0,0.0,0.0,1,1,284417967M43.0
135,151,284419968,222300.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Volkswagen,Volkswagen Polo,850000.0,19000.0,0.0,1.0,484641.0,2014,0,7,M,36.0,1,114889.68,0.0,0.0,0,0,284419968M36.0
136,152,284420190,165870.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Volkswagen,Volkswagen Polo,800000.0,30000.0,0.0,0.0,0.0,2019,1,19,M,44.0,1,102844.53,0.0,0.0,0,0,284420190M44.0
138,154,284420544,972900.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Краснодарский край,Toyota,Toyota Rav4,2638000.0,0.0,1.0,0.0,0.0,2021,0,8,M,35.0,1,434184.48,0.0,0.0,0,0,284420544M35.0
